judul,penulis,sinopsis
Segala - galanya Ambyar,Mark Manson,"Dari penulis buku laris dunia Sebuah Seni untuk Bersikap Bodo Amat (The Subtle Art of Not Giving a Fuck) lahirlah sebuah pedoman kewarasan untuk menghadapi problem-problem harapan.

Kita hidup dalam zaman yang menarik. Secara material, segalanya tampak sangat baik melebihi zaman-zaman sebelumnya. Meski begitu, entah mengapa segala-galanya tampak kacau balau dan benar-benar ambyar. Apa yang terjadi? Jika ada satu orang yang bisa membantu kita mengenali bencana yang terjadi saat ini dan ikut membantu memberes salah satunya adalah Mark Manson. Dalam Segala-galanya Ambyar, Manson membentangkan segunung penelitian psikologis, juga sederet kebijakan dari beragam filsuf mulai dari Plato hingga Tom Waits, untuk berbicara perihal agama, politik, uang, hiburan, dan juga internet.

Dengan ciri khas gayanya berupa campuran antara penelitian dan humor, Manson menantang kita untuk lebih terbuka dengan diri sendiri, secara jujur menguak definisi tentang keyakinan, kebahagiaan, ke-merdekaan-dan bahkan tentang pengharapan itu sendiri. Salah satu pemikir besar modern ini telah memproduksi satu lagi buku yang akan memperkaya dunia ke depan."
The Alpha Girl`S Guide,Henry Manampiring,"Alpha Female adalah para perempuan yang menginspirasi, memimpin, menggerakkan orang sekitarnya, dan membawa perubahan. Mereka cerdas, percaya diri, dan independen. Bagaimana remaja dan perempuan muda bisa mengembangkan diri menjadi mereka?

Buku ini adalah hasil pengamatan, riset artikel, wawancara langsung, dan diskusi dengan banyak perempuan di media sosial. Ditulis dengan ringan, penuh ilustrasi kocak, tetapi tetap blak-blakan menohok,The Alpha Girl’s Guide akan membuat kamu terinspirasi menjadi cewek smart, independen dan bebas galau!

The Alpha Girl’s Guide juga berisi wawancara inspiratif dengan dua Alpha Female Indonesia dari dua generasi: Najwa Shihab dan Alanda Kariza"
Nunchi: Seni Membaca Pikiran dan Perasaan Orang Lain,Euny Hong,"Nunchi, indra keenam orang Korea untuk membaca keadaan dan memahami apa yang dipikirkan dan dirasakan orang lain, telah dipraktikkan selama lebih dari 5.000 tahun dan diyakini telah melambungkan Korea dari salah satu negara termiskin menjadi salah satu negara paling maju di dunia. Para orangtua di Korea percaya bahwa mengajarkan nunchi pada anak mereka sama pentingnya dengan mengajari anak mereka menyeberang jalan dengan selamat. Nunchi adalah suatu bentuk kecerdasan emosional yang dapat dipelajari siapa pun. Yang kita butuhkan hanyalah mata dan telinga untuk memperhatikan orang lain, bukan menonjolkan diri sendiri. Buku ini akan menunjukkan caranya."
The Power Of Habit,Charles Duhigg,"Kebiasaan adalah Rahasia Keberhasilan.

Travis, seorang pemuda broken home dengan orang tua pecandu obat, berkali-kali dipecat dari pekerjaan karena tidak bisa mengendalikan emosi. Namun sesudah menjalani pelatihan pegawai Starbucks yang mengajarkan kekuatan tekad, Travis kini sukses menjadi manajer dua cabang kafe terkenal itu.

Seorang CEO baru memegang salah satu perusahaan raksasa Amerika. Perintah pertamanya adalah menumbuhkan kepedulian keselamatan kerja-dan hasilnya saham perusahaan itu, Alcoa, menjadi salah satu yang berkinerja terbaik di Dow Jones.

Dari bangun sampai tidur, ketika berjalan, bekerja, makan, bersantai, hidup kita tak lepas dari kebiasaan. Organisasi dan perusahaan pun memiliki kebiasaan. Kebiasaan bisa mendatangkan keuntungan maupun kerugian—bagi diri kita, orang lain, maupun masyarakat.

The Power of Habit mengungkapkan temuan ilmiah terbaru yang menjelaskan mengapa kebiasaan ada, apa unsur-unsurnya, dan bagaimana cara kita dapat mengubah kebiasaan pribadi, organisasi, maupun komunitas. Memahami dahsyatnya kebiasaan berarti memahami sebagian hakikat manusia dan potensi keberhasilan dari kebiasaan yang tepat."
"Seni Berbicara kepada Siapa Saja, Kapan Saja, dan di Mana Saja",Larry King,"“Salah satu hal yang saya pelajari adalah tidak ada orang yang tidak bisa diajak bicara bila kita memiliki sifat yang tepat. Setelah membaca buku ini, Anda akan mampu mengikuti segala percakapan dengan penuh keyakinan, dan Anda akan tahu cara menyampaikan pesan dengan efektif, dalam situasi apapun. Anda akan dapat bicara
dengan lebih baik dan lebih menikmatinya. Mulailah sekarang juga dan jadilah pembicara yang memesona!” —Larry King

Sebagian hal yang akan Anda temukan dalam Seni Berbicara kepada Siapa Saja, Kapan Saja, di Mana Saja:
• Kunci sukses bicara dengan orang yang belum dikenal
• Rahasia sukses pidato dan presentasi
• Cara jitu menyampaikan berita buruk
• Kiat mengatasi rasa malu dan membuat orang lain merasa nyaman
• Rahasia tampil memesona dengan humor
• Apa yang harus dikatakan dalam wawancara pekerjaan
• Tiga kunci menuju pembicaraan bisnis yang sukses
• Delapan hal yang dimiliki para pembicara terbaik
• Kiat bicara efektif di panggung politik
• Trik menghadapi media massa
• Kunci sukses tampil di radio dan TV
• Seni mengelak"
GRIT: KEKUATAN PASSION DAN KEGIGIHAN,Angela Duckworth,"Mengapa orang yang punya bakat alami sering gagal mencapai potensi mereka sementara orang lain yang tidak terlalu berbakat bisa menggapai hal-hal yang menakjubkan?

Dalam buku yang harus dibaca oleh siapa saja yang ingin sukses ini, Angela Duckworth–seorang psikolog perintis– menunjukkan bahwa rahasia untuk pencapaian yang luar biasa bukanlah bakat, tetapi perpaduan istimewa antara hasrat (passion) dan kegigihan (perseverance) yang ia sebut “ketabahan” (grit).

Berdasarkan penelitian, wawancara dengan orang-orang yang berprestasi tinggi, serta pengalamannya sendiri, Duckworth menunjukkan bahwa kecenderungan kita untuk terpaku pada bakat alami itu salah: dari segi pencapaian, yang lebih penting adalah usaha yang kita lakukan dan reaksi kita terhadap hambatan. Kemudian, ia menjelaskan bahwa ketabahan bisa dipelajari sekaligus menawarkan rumusan baru kesuksesan individu maupun kesuksesan kolektif."
WHAT`S SO WRONG ABOUT YOUR SELF HEALING,Ardhi Mohamad,"Selain kamu dapat buku What’s So Wrong About Your Self Healing, Apa aja yang salah dalam proses self-healing kita, itu yang bakal dibahas di buku ini. Akhir-akhir ini kita selalu mencari cara untuk self-healing, tapi, seringkali, maju-mundur, masih down lagi, putus asa lagi, bahkan kadang sampai stuck, nggak tahu harus bagaimana lagi mengusir rasa kesepian, kecemasan, serta kesedihan yang berkepanjangan, berdamai dengan luka dan trauma yang masih menyisa, bagaimana merasa utuh ketika diri ini banyak kekurangan dan kegagalan. Dari semua sarana self-healing yang kamu lakukan, buku ini perlu jadi sarana self-healing kamu."
Tak Mungkin Membuat Semua Orang Senang,Jeong Moon Jeong,"Dalam hidup, kita pasti akan berhadapan dengan orang-orang yang kelewat batas. Mereka menyakiti kita, mempermalukan kita, dan mengguncangkan kepercayaan diri kita. Hal-hal seperti itu sangat sulit diterima. Hubungan antar manusia kerap membutuhkan terlalu banyak usaha. Kita ingin mengatakan apa yang sebenarnya kita rasakan, tetapi kita tidak melakukannya karena takut orang lain salah paham dan takut dianggap egois. Apakah kita bisa memberitahu seseorang. tanpa merasa tidak enak hati. Bahwa sikapnya sudah kelewat batas? Tentu saja bisa. Kita hanya perlu banyak berlatih untuk bersikap seperti di bawah ini:

• Semua orang hidup dengan luka hati mereka sendiri
• Tidak perlu menjawab semua pertanyaan
• Memangnya kenapa kalau kita menjadi orang yang tidak berguna?
• Tidak perlu memaksa diri agar diterima orang lain
• Dunia akan terasa lebih baik jika kita tidak bersikap pasrah
• Belajar menolak dengan tegas dan berkelas
• Membiasakan diri tidak terpengaruh komentar negatif
• Tidak sakit hati gara-gara kritik negatif
• Ada baiknya bersikap sedikit gila
• Menghadapi orang yang kelewat batas dengan senyum
• Ada kalanya kita tidak perlu berusaha
• Bersikap masa bodoh"
Love for Imperfect Things,Haemin Sunim,"Tidak ada yang sempurna di dunia ini, dan itu bukan alasan bagi kita untuk menghindari cinta kepada dunia, kepada sesama manusia, bahkan kepada diri sendiri. Lewat buku ini, guru Buddhis Haemin Sunim membagikan kisah pribadi dan pengalaman selama bertahun-tahun membantu sesama untuk mengajarkan kita seni merawat diri. Ketika kita memperlakukan diri sendiri dengan penuh kasih sayang, empati, dan pengampunan, kita juga belajar memperlakukan orang lain dengan yang sama; membuat kita bisa menjalin hubungan hubungan yang lebih dalam dengan orang lain, bangkit dari keterpurukan, menghadapi rasa sakit dan sedih, mendengarkan dengan lebih saksama, mengekspresikan diri, dan memiliki keberanian untuk mengejar hal yang membahagiakan diri sehingga kita merasa lengkap.

Love for imperfect things menawarkan kenyamanan batin, dorongan semangat, dan kebijaksanaan sehingga kita bisa belajar mencintai diri kita, hidup kita, dan semua orang yang ada di dalamnya."
The 5 AM Club : Bangun Rutinitas Pagi Untuk Level Up Hidupmu!,Robin Sharma,"Kenapa Anda harus bangun jam lima pagi?

Bangun pagi bukan saja bermanfaat untuk kesehatan, tetapi juga dapat mendorong produktivitas. Periode fajar di pagi hari adalah saat yang paling damai dan tenang sehingga akan membebaskan kita dari gangguan. Selain itu, di waktu ini otak sedang berada pada kondisi optimalnya.

Dalam The 5AM Club', Robin Sharma membeberkan rahasia-rahasia di balik rutinitas pagi yang berhasil membantu klien-kliennya, yang merupakan miliarder, superstar, olahragawan, selebriti, hingga CEO, menjadi orang produktif dan sukses.

Temukan metode-metode menarik dari rutinitas pagi para orang sukses, pelajari formula rahasia rutinitas pagi mereka, dan Anda pun siap untuk menjadi orang produktif serta sukses berikutnya."
Hidup Damai Tanpa Berpikir Berlebihan,"Tsuneko Nakamura, Hiromi Okuda","Terlalu banyak tuntutan untuk melakukan ‘ini’ dan ‘itu’ sering kali membuat kita kewalahan. Beberapa tuntutan membutuhkan kesabaran sampai batas tertentu dan membuat kita dibebani pikiran yang berlebihan.

Dalam buku laris dari Jepang yang telah diterbitkan di beberapa negara ini, Dokter Tsuneko Nakamura—seorang psikiater yang berkarier selama hampir 70 tahun—berpendapat bahwa solusinya ada pada bagaimana kita mengkompromikan perasaan dengan kenyataan.

Cara hidupnya memiliki kebiasaan melakukan hal baik dimulai sejak dari pikiran yang membuat kita dapat menerima diri apa adanya ini sangat bermanfaat bagi kesehatan fisik dan psikis untuk meraih kehidupan yang berkualitas. Berikut beberapa di antara pendapatnya:

• Tugas kita di malam hari adalah tidur nyenyak.
• Terima hal-hal kecil, dan kebaikan kecil akan menyebar.
• Akan lebih bahagia jika kita tidak berpikir harus bahagia.
• Menyerah bisa juga berarti memperjelas jalan hidup kita.
• Pilih mana yang harus dipikirkan saat ini dan mana yang tidak.
• Saat fisik dan hati sedang lelah, jangan melakukan sesuatu yang menambah beban.
• Jalin hubungan yang memungkinkan kita nyaman memperlihatkan kelemahan kita.
• Memahami sifat diri tentang apa yang disukai atau tidak lebih penting daripada membangun rasa percaya diri."
Jangan Membuat Masalah Kecil Jadi Masalah Besar,Richard Carlson,"Banyak hal dalam hidup ini yang sebenarnya hanya masalah kecil, tapi kita memperlakukannya sebagai masalah besar. Sebenarnya, dengan membentuk perspektif baru bahwa masalah-masalah itu memang kecil, kita akan mempunyai lebih banyak waktu untuk memikirkan hal-hal yang benar-benar merupakan masalah besar.

Dengan gaya tulisan yang mudah dipahami, buku ini menyajikan cara-cara membentuk perspektif yang lebih positif tersebut sehingga kita akan belajar untuk berdamai dengan diri sendiri dan lebih peduli. Hidup kita akan lebih terfokus pasa masa kini, hubungan kita dengan orang lain akan menjadi lebih baik, dan batin kita akan menjadi lebih tenang.

- Berdamailah dengan ketidaksempurnaan
- Jangan menginterupsi atau memutus kalimat orang lain
- Berbuat baiklah kepada orang lain dan jangan ceritakan hal itu kepada siapa pun
- Jadilah pendengar yang baik
- Jangan lupa, ”hidup bukanlah keadaan gawat darurat”
- Tahan keinginan untuk cepat-cepat melontarkan kritik
- Tetaplah merasa nyaman meskipun tidak mengetahui sesuatu
- Berhentilah menyalahkan orang lain
- Isilah hidup dengan kasih sayang
- Percayailah intuisi kita"
"Men Are from Mars, Women Are from Venus",John Gray,"Dahulu kala, orang Mars berjumpa dengan orang Venus. Mereka jatuh cinta dan menjalin hubungan yang membahagiakan karena mereka saling menghormati dan menerima perbedaan-perbedaan mereka. Kemudian
mereka tiba di Bumi dan mulai menderita amnesia. Mereka lupa bahwa mereka berasal dari planet yang berlainan.

Dengan kiasan ini sebagai ilustrasi pertengkaran yang umum terjadi antara pria dan wanita, Dr. John Gray menjelaskan alasan munculnya perbedaan antara kedua jenis kelamin itu yang mengganggu terciptanya hubungan cinta yang saling melengkapi. Berdasarkan keberhasilannya memberi bimbingan selama bertahun-tahun terhadap pasangan suami istri dan perorangan, ia memberi nasihat mengenai cara mengatasi perbedaan dalam gaya berkomunikasi, kebutuhan emosional, dan perilaku untuk meningkatkan pemahaman yang lebih besar antara masing-masing pasangan.

Men Are from Mars, Women Are from Venus merupakan sarana untuk mengembangkan hubungan yang lebih mendalam dan lebih memuaskan."
Alasan untuk Tetap Hidup: Melawan Depresi dan Berdamai dengan Diri Sendiri,Matt Haig,"Apa rasanya menjadi orang yang mengalami gangguan kecemasan atau depresi? Ada dorongan yang membanjiri perasaan dan pikiran mereka sampai-sampai tubuh fisiknya pun ikut sakit. Bahkan, tak sedikit dari mereka yang akhirnya memutuskan untuk bunuh diri.

Matt Haig pernah berada di titik itu. Ia pernah mencoba bunuh diri di pinggir tebing ketika berusia 24 tahun. Serangan panik yang bertubi-tubi dan harapan yang tak lagi terlihat membuatnya berpikir bahwa mengakhiri segalanya adalah hal terbaik. Tetapi, pada langkah terakhir, ia berhenti dan mengurungkan niatnya.

Sampai sekarang, ia menjadi bukti bahwa gangguan kecemasan dan depresi bisa diatasi. Melalui buku ini, Matt Haig akan membagikan pengalamannya, mulai dari gejala depresi, rasanya mendapat serangan panik, hingga apa yang membuatnya bertahan hidup hingga hari ini. Kita akan menyelami apa yang para penderita depresi rasakan dan bagaimana cara membantu mereka (atau bahkan diri sendiri) menjadi lebih baik."
"Goodbye, Things: Hidup Minimalis ala Orang Jepang",Fumio Sasaki,"Fumio Sasaki bukan ahli dalam hal minimalisme; ia hanya pria biasa yang mudah tertekan di tempat kerja, tidak percaya diri, dan terus-menerus membandingkan diri dengan orang lain—sampai suatu hari, ia memutuskan untuk mengubah hidupnya dengan mengurangi barang yang ia miliki. Manfaat luar biasa langsung ia rasakan: tanpa semua “barangnya”, Sasaki akhirnya merasakan kebebasan sejati, kedamaian pikiran, dan penghargaan terhadap momen saat ini.

Di buku ini, Sasaki secara sederhana berbagi pengalaman hidup minimalisnya, menawarkan tips khusus untuk proses hidup minimalis, dan mengungkapkan fakta bahwa menjadi minimalis tidak hanya akan mengubah kamar atau rumah Anda, tapi juga benar-benar memperkaya hidup Anda. Manfaat hidup minimalis bisa dinikmati oleh siapa pun, dan definisi Sasaki tentang kebahagiaan sejati akan membuka mata Anda terhadap apa yang bisa dihadirkan oleh hidup
minimalis."
